sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
441666,20190514,581,429,99,34.73193473,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[216, 154, 418, 387]"
441666,20190515,602,441,269,76.19047619,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[181, 185, 266, 394]"
441666,20190516,439,308,138,81.49350649,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[235, 323, 309, 339]"
441666,20190517,684,480,224,83.95833333,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[145, 220, 296, 314]"
442571,20190227,540,361,189,65.92797784,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[168, 149, 273, 315]"
442571,20190228,460,312,165,89.42307692,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[336, 277, 267, 366]"
442571,20190301,501,366,187,87.70491803,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[258, 192, 289, 205]"
442571,20190302,501,352,181,88.06818182,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[272, 247, 320, 286]"
442571,20190303,692,496,255,89.51612903,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[259, 169, 358, 307]"
449141,20190530,660,459,246,50.10893246,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[193, 437, 396, 361]"
449141,20190531,800,516,251,65.69767442,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[373, 330, 321, 283]"
449141,20190601,660,438,212,77.85388128,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[318, 262, 264, 248]"
449141,20190602,690,486,184,72.01646091,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[347, 385, 257, 305]"
449141,20190603,430,306,209,57.18954248,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Thalamus' 'right Thalamus'],"[162, 244, 469, 577]"
449141,20190604,661,483,308,72.04968944,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Thalamus' 'right Thalamus'],"[172, 171, 478, 446]"
